"ID/EAN","NOMBRE","MARCA","PRESENTACION","ID_CATEGORIA","PRECIO"
"7793147574222","Cerveza Remix Limón X 473 Cc Schneider","SCHNEIDER","Cerveza Remix Limón X 473 Cc Schneider","38","2550.0"
"7790895641336","Isotonico Powerade Frutas Tropical 500cc","POWERADE","Isotonico Powerade Frutas Tropical 500cc","42","1950.0"
"7790639003819","Gaseosa Cunnington Cola Suave 2.25lt","CUNNINGTON","Gaseosa Cunnington Cola Suave 2.25lt","205","1990.0"
"7790895067587","Coca-cola Zero 354 Ml","COCA COLA","Coca-cola Zero 354 Ml","205","2300.0"
"7792798013494","Cerveza 0.0sin Alcohol 473ml X 6u Stella Artois","STELLA ARTOIS","Cerveza 0.0sin Alcohol 473ml X 6u Stella Artois","38","18600.0"
"7622201746018","Jugo En Polvo Tang Naranja Lima 15 Gr","TANG","Jugo En Polvo Tang Naranja Lima 15 Gr","211","495.0"
"7794450000149","Vino Tinto Vineyard Red Blend Malbec 750 Ml Nicasia","NICASIA","Vino Tinto Vineyard Red Blend Malbec 750 Ml Nicasia","216","12550.0"
"7792798013982","Cerveza Rubia 710ml X 4u Stella Artois","STELLA ARTOIS","Cerveza Rubia 710ml X 4u Stella Artois","38","21600.0"
"7790314080159","Vino Estancia Mendoza Malbec 750cc","ESTANCIA MENDOZA","Vino Estancia Mendoza Malbec 750cc","216","4300.0"
"7790895064166","Sprite Zero Lima-limón 2,25 Lt","SPRITE","Sprite Zero Lima-limón 2,25 Lt","206","5450.0"
"7792798002122","Cerveza Roja 1l Retornable Andes Origen","ANDES","Cerveza Roja 1l Retornable Andes Origen","38","5200.0"
"7798422620014","Bebida Energizante Energy 473 Ml Monster","MONSTER","Bebida Energizante Energy 473 Ml Monster","40","3200.0"
"7799155001408","Saborizada Levite Pomelo Rosado 2.25lt","Levite","Saborizada Levite Pomelo Rosado 2.25lt","204","3400.0"
"7793147571412","Cerveza Imperial Rubia 710cc","IMPERIAL","Cerveza Imperial Rubia 710cc","38","4100.0"
"7790895001017","Gaseosa Naranja 2,25 Lts Fanta","FANTA","Gaseosa Naranja 2,25 Lts Fanta","207","5450.0"
"7792798010592","Cerveza Rubia X 6 Un Stella Artois","STELLA ARTOIS","Cerveza Rubia X 6 Un Stella Artois","38","21600.0"
"7792799000097","Agua Mineral Eco De Los Andes Sin Gas 2 L","ECO DE LOS ANDES","Agua Mineral Eco De Los Andes Sin Gas 2 L","202","3100.0"
