EAN,NOMBRE,MARCA,PRESENTACION,ID_CATEGORIA,IMAGEN
"7793940054006","Manteca La Serenísima 200 gr.","La Serenisima","200 gr","","https://cdn.batitienda.com/baticloud/images/product_picture_c8773980fdcd4c4c95964ae95ccc9015_638286412335117781_0_m.jpg"
"7792798014255","Cerveza Blanca Brahma Musica en Lata 473 cc.","Brahma","473 cc","","https://cdn.batitienda.com/baticloud/images/product_picture_f3b0f06a72d64c44ac2372608643fb92_638405757836844112_0_m.jpg"
"7792798005888","Cerveza Rubia Brahma Chopp 473 Ml Lata","Brahma","473 Ml","","https://cdn.batitienda.com/baticloud/images/product_picture_bc534559674e4bc6b1163ac1478491aa_637862326890325997_0_m.jpg"
"7791905003335","Detergente Ropa Liquido Querubin Botella 3lt","Querubin","3lt","","https://cdn.batitienda.com/baticloud/images/product_picture_dc3d9d67072e43ee9e007b904ae26be5_637862973278276867_0_m.jpg"
"7791905003366","Detergente Ropa Liquido Querubin Doy 3lt","Querubin","3lt","","https://cdn.batitienda.com/baticloud/images/product_picture_0d6e1e405f7640d6b117b032f5113d9f_637862973218194120_0_m.jpg"
"7790742358400","Leche La Serenisima Barista 1 l","La Serenisima","1 l","","https://cdn.batitienda.com/baticloud/images/product_picture_b635001092eb47efaf3ee3adb4cfad47_638241229956921112_0_m.jpg"
"7790742335807","Leche Uat Desc La Serenisima Hierro 1 l","La Serenisima","1 l","","https://cdn.batitienda.com/baticloud/images/product_picture_ad303d4ff3eb4c86908da6074bd83544_638337296126533290_0_m.jpg"
"7790742358509","Leche Uat Descremada La Serenisima Prebiotica Botella 1 l","La Serenisima","1 l","","https://cdn.batitienda.com/baticloud/images/product_picture_be0872a820b548aba07a7583feb04cfa_638241374998631800_0_m.jpg"
"7795742084359","Mir Cerveza Brahma Chopp 473 xml","Mir","","","https://cdn.batitienda.com/baticloud/images/product_picture_2fb3aa2f77b64e1e8ba9e0e8c4bb7193_638804883283585766_0_m.jpg"
"7793890258752","Pan Blanco Lactal x 460 g","Lactal","460 g","","https://cdn.batitienda.com/baticloud/images/product_picture_e2374c4096db48b389921aabff9c7f82_638241549665228925_0_m.jpg"
"7793890258776","Pan de Salvado Lactal x 330 g","Lactal","330 g","","https://cdn.batitienda.com/baticloud/images/product_picture_0a53dba9cd61453cb524214728b37698_638241079089697451_0_m.jpg"
"7790742223203","Queso Rallado La Serenisima 175 Gr","La Serenisima","175 Gr","","https://cdn.batitienda.com/baticloud/images/product_picture_ca4b6867404547269944b87e68ff73d4_637862433809801888_0_m.jpg"
"7791337007802","Leche Fermentada Actimel Sabor Frutilla 100 cc.","Actimel","100 cc","","https://cdn.batitienda.com/baticloud/images/product_picture_34edeb2cbdd144f7b12d133e099fd2ad_638284795479295774_0_m.jpg"
"7791337009639","Yogur Descremado Bebible Ser de Frutilla en Sachet 900 g","Ser","900 g","","https://cdn.batitienda.com/baticloud/images/product_picture_ab507c7dbb5c4015a136ff5058a81e55_638593241943451120_0_m.jpg"
"7791337009622","Yogur Descremado Bebible Ser de Vainilla en Sachet 900 g","Ser","900 g","","https://cdn.batitienda.com/baticloud/images/product_picture_5fb3d25b851f4859aa68815067be184c_638593245132937114_0_m.jpg"
"7791905024699","Acondicionador Polyana Manzana 900 cc.","Polyana","900 cc","","https://cdn.batitienda.com/baticloud/images/product_picture_3d7673b481d9452ea5b6b4f9202ab51c_638251211957220191_0_m.jpg"
"7792798014835","Cerveza Quilmes Clasica 710 cc","Quilmes","710 cc","","https://cdn.batitienda.com/baticloud/images/product_picture_45aea9e00ba04b9b8c8125bdbbf8975f_638688963716935166_0_m.jpg"
"7792798014842","Mir Cerveza Quilmes Clasica 710 x 4","Mir","","","https://cdn.batitienda.com/baticloud/images/product_picture_76e83b9e2ca041cba3b873110f0c8334_638798934155877328_0_m.jpg"
"7791905024613","Shampoo Polyana Balance 900 ml","Polyana","900 ml","","https://cdn.batitienda.com/baticloud/images/product_picture_93c06068ade048c1a6d272eec618fb8f_638254833710032749_0_m.jpg"
"7791905024590","Shampoo Polyana Nutrición 900 cc.","Polyana","900 cc","","https://cdn.batitienda.com/baticloud/images/product_picture_fe509e92a2d84c7abd7c2cd8cab0f98c_638250963830444361_0_m.jpg"
"7790070012050","Aceite De Girasol Cocinero 900 Ml","Cocinero","900 Ml","","https://cdn.batitienda.com/baticloud/images/product_picture_fcfaca0417c54bef84e070f72bcf0733_637861880151575797_0_m.jpg"
