codigo_interno,nombre_producto,precio_producto,url_imagen
289526,mayonesa hellmann's clásica doypack 950grs,"3.890,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/8/d/9/8d945b266ca41cdd81608631315f76f1
881279,atún primer precio al natural 170grs,"1.490,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/6/9/4/69417f4142896b7d4f8b3c8bd0436294
106844,aceite de girasol natura 1500cm3,"5.490,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/f/b/3/fb3e52330b9caf7efee8536010899628
233530,edulcorante en polvo hileret con stevia x50 40grs,"3.890,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/c/5/4/c54197601f2203c316f070bb973cfc45
315245,sémola de trigo candeal pureza 500grs,"1.790,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/e/3/c/e3c1513e27783384ac0cece9570bbb67
282875,yerba mate la tranquera tradicional 1000grs,"3.690,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/9/d/1/9d175490daf8ac244ba2a5d4e172c911
714529,hummus de garbanzos kamar olivas negras 230grs,"4.790,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/0/6/5/065a60e162c049abe8614b8e010be985
285506,café torrado molido la virginia equilibrado en saquitos x20 100grs,"4.190,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/4/3/7/437eb245f3388db9aebc7bbcbc7194c8
285488,capelettini giacomo tridicci 500grs,"5.250,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/0/e/b/0ebfe62d6543f6022821a4defe158e78
312905,galletitas crackers traviata con un toque de kesitas sabor queso 96grs,"989,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/f/d/4/fd421b7f356545211322ce8f60c3512f
260554,sabor en polvo alicante finas hierbas x4 32grs,"1.611,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/b/8/c/b8c94d990e0a85a81a2e40738314b977
309310,infusión a base de café arlistán suave 170grs,"6.990,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/a/3/c/a3cccf1af2c491fa7bca36cf1a602df7
322441,combo alimento infantil nestum multicereal + nestum trigo y miel 450grs,"13.990,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/4/5/c/45c27e2746232456f59407853b8ac2e6
289557,sopa de vegetales knorr con caracolitos tricolor 107grs,"2.590,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/6/2/f/62fa96c433f34c6dd35c50c4357f0c49
312607,alimento en polvo a base de azúcar y cacao nesquik original 150grs,"2.690,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/e/1/b/e1b9f7044ad4265cf1192f707f6bf2ec
293910,café tostado molido super cabrales 250grs,"13.890,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/5/8/9/589444cfab680c623813aca941a3b6db
129015,atún cooperativa trozos en aceite y agua 160grs,"2.749,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/2/4/5/2457217e8c0feb8b51eabbb216f35ce8
280504,aceitunas verdes cooperativa descarozadas 150grs,"2.249,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/1/2/7/127cc1a29f3e7fb5b9539d6c3d312d2d
279977,galletitas dulces okebon molino natural avena y granola 236grs,"2.169,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/a/2/0/a20bc8d0090b36493ebc7173fcc67fac
192378,lucchettinis lucchetti jamón y queso 500grs,"5.290,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/e/d/6/ed6e728c3f23db16fecf71b5dd0823d8
285071,café torrado molido la virginia equilibrado 500grs,"9.990,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/3/e/9/3e919f865077006deb575770f9883b01
208827,huevo de chocolate kinder rosa x2 40grs,"5.250,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/9/1/1/9116ae77316f9bdac8c63d34bf9078a2
279503,miel primer precio pote 500grs,"5.890,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/b/a/e/baeb00bba773aec26638a56391dbb062
881260,atún primer precio en aceite y agua 170grs,"1.490,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/1/0/9/1099c14f21aa4e8da57534cd717af971
714528,hummus de garbanzos kamar sésamo y ajo 230grs,"4.790,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/6/9/9/6993a6214a186b6e7e9afbbc9032b96f
214461,picadillo de carne la negra 90grs,"935,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/b/8/f/b8f78d294c1be59ef6b72eb449d49321
289549,choclo amarillo cooperativa en granos enteros lata 300grs,"1.559,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/6/b/c/6bc73b3eb530cd747d0f4ff632105108
105725,lentejas cooperativa 400grs,"1.759,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/f/8/c/f8c31d61532866b4992a2249eaac41ea
317765,barra proteica ena sabor chocolate brownie 46grs,"1.459,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/f/6/a/f6a64f96b62bc7605328ceb7db568b3a
275362,bicarbonato de sodio cooperativa 50grs,"640,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/6/2/4/624052755a85377d3fb2981134f4abbc
289562,sopa crema knorr de vegetales 60grs,"2.590,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/2/2/b/22b693d7da430994a961a804eb8bff2c
280063,manteca de maní king original 350grs,"3.790,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/4/0/3/403e5dcaf63a203240d229fa9751e06e
280499,aceitunas verdes cooperativa con carozo 180grs,"1.749,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/5/d/0/5d06c8216974a9b2a2db81b5741db511
310232,mayonesa cañuelas con jugo de limón doypack 250grs,"1.290,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/f/a/e/fae02c6500aec1079e2fa30c983d37ee
272478,aceitunas verdes la toscana con carozo 160grs,"2.455,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/7/5/4/754a98d2875573e3d28c3e065bfde300
447592,ciruelas desecadas rodriguez acacio sin carozo 250grs,"4.059,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/c/1/8/c18d7e2559b0e3805a09959bb2c662f9
316310,alimento en polvo a base de azúcar y cacao nesquik original 800grs,"12.590,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/4/d/1/4d13b90a6d104d2b4ae79d3a6f811277
285759,mermelada la campagnola ciruela frasco 454grs,"3.750,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/2/8/f/28f117f11372d9decabcd372cdd30d96
265436,cebada primer precio instantánea fortificada pote 170grs,"4.490,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/f/1/2/f12bfca9b7ae2621db51df16b8eddf70
286371,alimento en polvo a base de azúcar y cacao chocolino 180grs,"2.300,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/3/e/0/3e027b6490b8e724277b4db3e5643649
176477,paté de foie changuito 90grs,"890,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/5/2/f/52fb37c4080f27130fa830c10a8574ea
311088,caldo de verdura knorr 6 cubos 57grs,"1.659,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/d/3/9/d39e18fe3a436ec85e854c84f5dd5455
294596,sopa instantánea knorr quick zapallo 63grs,"2.419,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/6/2/c/62c0d13418f5fcd9ff3cb308b424d06c
243966,bombón bon o bon leche 15grs,"790,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/3/c/d/3cdda9470ce34e464751526b716f4262
696239,vinagre de alcohol casalta 1000cm3,"1.643,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/5/b/b/5bb47c7636195d1c979fc4f3517c677d
266724,harina de trigo primer precio 0000 1kgs,"1.089,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/f/3/9/f3922cd823603912d268d04cbcc6ac3f
231480,atún ecoop en trozos sin adición de sal 160grs,"2.749,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/9/6/2/96206a673f4984e6560121b73bad0e6b
286374,café torrado molido morenita intenso en saquitos x20 100grs,"5.239,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/6/d/5/6d584a48df74928d8835936e4ea2ac05
309689,fideos guiseros matarazzo tirabuzón n°28 500grs,"1.799,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/b/d/f/bdfb177f5efe7a891e02e3c54207b7c3
316790,atún cooperativa lomitos en aceite y agua 160grs,"3.250,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/b/5/a/b5a98ffbd4c30210095e695f3bae653f
212170,yerba mate amanda tradicional con palo 1000grs,"4.350,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/5/f/5/5f526553a2811488d7b51700cfb7cbed
266265,cebada el pocillo fortificada 500grs,"14.877,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/c/c/f/ccf932b3e4a44c3205bd6f075b2e5f3f
240361,cebada el pocillo fortificada pote 170grs,"6.107,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/7/7/5/77508b4d271da1a273e95f4d9913daff
294205,azúcar la providencia común tipo a 1kgs,"1.349,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/e/5/d/e5dd61d42893ae0da39b998f65e289d4
276739,coco rallado cooperativa 50grs,"1.250,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/7/4/1/741c05a992c8f569abfedf11a2e2f90a
216871,almohaditas de cereal rellenas primer precio sabor chocolate 180grs,"2.409,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/c/3/6/c36e334731266ee109d7952b3d2a7ee8
321383,barra íntegra semillas y chocolate sin tacc 38grs,"1.700,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/c/e/8/ce8cfe919f932f0919ff02cdd4473ab7
294221,vinagre de manzana favinco 1000cm3,"3.627,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/9/3/f/93f00d29f7a1578f4d310c6b8e31690c
280503,aceitunas verdes cooperativa en rodajas 150grs,"2.380,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/7/e/7/7e74e3420478f53ba823210745ebcc95
186021,sal fina dos anclas 500grs,"1.450,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/3/e/8/3e84496656d70b085f3d926c2c062854
282572,chicles beldent mentol fresh sparks 10grs,"690,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/7/e/0/7e0872766a2e414190c7c0358e583975
287633,caldo en cubos maggi verduras x12 114grs,"1.950,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/1/6/b/16bc46686a12e1d5dacfb996050f8d1d
296731,pimentón paprika badia 56grs,"8.639,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/5/7/f/57fc76b288f41f331bfe63837af94632
310429,harina leudante pureza ultra refinada vitamina d 1kgs,"1.789,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/f/6/1/f61051e98eb8763007a7249e7957848f
262092,dulce de leche repostero la serenisima 400grs,"4.500,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/2/8/e/28e9ff27888262c88a2685f97f5c0192
316791,atún ecoop lomitos en agua sin adición de sal 160grs,"3.350,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/a/1/2/a12c3328a29220ff48a6934ab21da386
279825,lentejones la abadia 400grs,"2.690,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/9/e/7/9e76186b33c702e1f93d195105ecba61
298837,granola berries kos food  400grs,"4.379,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/0/f/6/0f6b10a4aba56e6aa148e4f8bb86240a
152056,pasas de uva rodriguez acacio sin semillas 100grs,"1.489,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/a/b/b/abbb55117dd53c738584492ce3d95f7d
289561,sopa de pollo knorr con dedalitos integrales 80grs,"2.590,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/c/9/f/c9f85032914f0e99aed83f98aafc272a
103262,sal entrefina parrillera dos anclas caja 500grs,"1.419,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/2/4/f/24f8f06337183bfe515337f49c3040e5
267119,dulce de leche cooperativa familiar 400grs,"2.549,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/5/2/b/52bf97f59e977bf61965369479ab9d61
287747,canela alicante molida 25grs,"1.734,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/2/8/2/2826492a3f7fe6f7460c582f852289f6
135888,turrón arcor de maní x10 250grs,"3.900,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/7/7/8/77829f6e009325b7ed8b4c2902b1c6dd
309988,salsa golf hellmanns sin tacc 250grs,"2.799,00",https://www.lacoopeencasa.coop/media/lcec/publico/articulos/7/7/6/776d88b51f9441560274510c1102704f
