ean,codigo_interno_coope
7793147009137,153488
7792798007493,254040
7792798007400,254036
7793147000899,309173
7792798010578,103844
7792798002399,275349
7792798002115,271778
7792798992317,272770
7792798010882,286453
7793147001056,262097
7792798002351,275348
7802100003270,311044
7792798013678,298910
7792798002122,271781
7792798002757,276101
7792798001316,266266
7793147118860,309177
7793147571689,311048
7793147000752,309160
7793147009199,309172
7793147572723,309163
7792798001972,269513
7793147001742,266567
7792798013487,309344
7792798009107,280553
7792798001965,272974
7793147118822,311490
7793147570927,311045
7792798005888,851132
7792798012923,150380
7792798010615,265803
7792798013388,298863
7793147570866,697282
7793147572846,309170
7802107000876,311038
7792798999866,271782
7792798010639,280603
7792798002320,272769
7798074864910,299947
7790717152026,142388
7790975000046,156167
7790975000022,144991
7790975000152,111155
7791560040126,127439
7790975198613,283378
7790975198675,283400
7790975198699,283411
7791560132838,268358
7791670027604,309136
7790975198712,283406
7791203003433,293999
7795933703236,104000
7790070761019,197385
7790717001195,696446
7790975194417,157302
7791670027611,309139
7790314079726,308255
7798108834155,296540
7792319972224,281604
7791728247091,110260
7791843008317,234124
7790093132728,153982
7790240041880,130921
7798108834070,296769
7790070760623,309814
7790703205224,298966
7797942006957,309472
7791203003365,293995
7790314003233,291567
7798162677576,316281
7790703204982,298967
7792319972248,281606
7791203003389,293998
7798353194653,313546
7790093521782,282020
7794450090492,437089
7797942006933,309471
7791843008294,232176
7790070760562,299270
7798074865313,299937
7790703204968,298968
7790070760722,308723
7798074864798,296532
7791843023471,318072
7791728247114,290368
