# Scraping: 2026-04-29 17:23:02
ean,nombre,precio
7790742661067,B.Lactea Ddl La Serenisima Sachet 900 ml,$2.225
7792798007387,Cerveza Rubia Quilmes Clásica 1 L Botella Retornable (hasta 12 unidades),$3.590
7791905003861,Jabón Líquido Para Ropa Netic 800 g.,$2.100
7790742363107,Leche Uat 1 la Serenisima 1 l,$2.490
7790742363008,Leche Uat 3 la Serenisima 1 l,$2.490
7790580146115,Puré de Tomate Arcor Brik 520 g.,$1.290
7793704000911,Yerba Mate Playadito Suave X500gr,$2.699
7790742872661,Bebida Lactea Sense Capuccino 200 ml,$1.290
7790742172105,Leche Descremada Protein Chocolate 1 l La Serenisima,$3.520
7790742333605,Leche Uat La Serenisima Zerolact 1 botl,$2.399
7791337007390,Ls Yogur Batido La Serenisima Entero Cereales 159 g,$2.900
7790742172204,Sense Proteina Cacao La Serenisima Uat 200 ml,$1.290
7791337007697,Yogur Descremado La Serenísima Con Cereales 157 g.,$2.900
7793940054006,Manteca La Serenísima 200 gr.,$3.980
7790742625304,Dulce De Leche Clasico La Serenisima 400 Gr,$3.320
7792798014255,Cerveza Blanca Brahma Musica en Lata 473 cc.,$1.699
7792798007493,Cerveza Brahma Chopp Rubia 1lt Retornable (hasta 12 unidades),$2.990
7792798014262,Cerveza Brahma Musica 1 lt Ret.,$2.990
7792798014279,Cerveza Brahma Musica 2023 Sixpack 473 cc,$9.990
7792798005970,Cerveza Rubia Brahma 6 x 473 cc.,$9.990
7792798005888,Cerveza Rubia Brahma Chopp 473 Ml Lata,$1.699
7622201806552,Galletitas Oreo Golden S/Colorantes X118g,$1.790
7791905001393,Jabón Líquido Para Ropa Querubín Premium 800 ml.,$3.180
7795742084359,Mir Cerveza Brahma Chopp 473 xml,$1.699
000000000000812,QUESO BARRA LA SERENISIMA,$18.300
7790742223203,Queso Rallado La Serenisima 175 Gr,$7.365
7791337009967,Yogur Griego Cereal Azucarado x 166 grs Yogurisimo,$3.800
7791337010093,Yogur Griego Cereal Granola x 168 grs Yogurisimo,$3.800
7791813777052,7 Up 7up Lima Limón 2.25l,$3.990
7792798014835,Cerveza Quilmes Clasica 710 cc,$2.299
7790040872202,Galletitas De Agua Traviata 303 Gr,$1.990
7791813434450,Gaseosa 7 Up Sin Azucar 225 .lt,$3.990
7792798014842,Mir Cerveza Quilmes Clasica 710 x 4,$9.190
000000000000822,PATEGRAS LA SERENISIMA,$23.300
000000000000845,QUESO FRACC CREMON CREMOSO,$14.100
7791813444459,"Seven Up Gaseosa 7 Up Botella 2,25 Lt.",$3.990
7790580221904,Puré De Tomate Arcor 520 Gr,$1.100
7790580256609,PURE DE TOMATE ARCOR X 520 GRS,$1.100
7790580138844,Silk Puré de Tomate Arcor Tetra 530 g.,$1.100
7792798014972,Cerveza Origen Golden x 1 Lts Retornable Andes,$4.760
7792798003723,CERV CORONA PACK 6 X 330 CM3,$16.380
7792798003709,Cerveza Rubia Corona 330 cc.,$2.730
7790742625205,Dulce De Leche Colonial La Serenisima 400 Gr,$3.730
7790742321701,Finlandia Clasico La Serensima 180 Gr,$3.230
7790742324009,Queso La Serenisima Finlandia Reducido en Calorías 180 g,$3.230
7790742321800,Queso Ls Finlandia Light Pote 180gr,$3.230
000000000000819,CHEDDAR LA SERENISIMA,$19.990
000000000000928,FIAMBRIN LA SERENISIMA,$19.990
7790742373205,Finlandia Clasico La Serensima 290 Gr,$4.835
7790742373809,Queso La Serenisima Cremon Light Pote 280gr,$3.740
7790742373908,Queso La Serenisima Cremon Original Pote 280gr,$3.740
7790742324108,Queso La Serenisima Finlandia Reducido en Calorías 290 g,$4.835
7790742373304,Queso Untable Finlandia 290 gr,$4.835
7791813828464,Gaseosa Cola Black Pepsi 2 lt,$3.390
7791813888468,Gaseosa Cola Pepsi Regular 70 K Pet 2 lts.,$3.799
7791813422006,Gaseosa Pepsi Black Sin Azúcar 2 l,$3.390
7792798003716,Cerveza Corona 710 cc,$4.480
7501064106859,Cerveza Rubia Corona 710 Ml Botella Descartable,$4.480
7790742141101,Crema de Leche La Serenísima 330 cc.,$4.575
7790742142009,Crema de Leche La Serenísima Zero Lactoza Tetra 200 g.,$3.425
7790742141606,LA SERENISIMA CREMA P/COCINAR X200,$2.850
